Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
385,Justin Robinson,PG,24,MIL,17,0,11.6,1.1,3.4,0.316,0.6,2.2,0.27,0.5,1.2,.400,.404,0.1,0.1,1.0,0.1,0.6,0.8,1.2,0.5,0.0,0.6,1.0,2.8
386,Mitchell Robinson,C,23,NYK,25,20,24.0,2.7,3.6,0.736,0.0,0.0,0.0,2.7,3.6,.736,.736,1.3,2.1,0.635,3.0,4.5,7.5,0.6,0.4,1.7,0.6,2.6,6.7
387,Jeremiah Robinson-Earl,C,21,OKC,27,19,21.9,2.6,6.3,0.412,1.1,3.2,0.333,1.5,3.1,.494,.497,0.7,0.9,0.72,1.7,4.1,5.7,0.8,0.5,0.3,0.9,1.5,6.9
388,Isaiah Roby,PF,23,OKC,13,1,12.6,2.5,4.8,0.516,0.4,1.2,0.333,2.1,3.6,.574,.556,1.1,1.3,0.824,1.1,1.6,2.7,0.8,0.2,0.4,0.7,1.2,6.4
389,Rajon Rondo,PG,35,LAL,14,0,14.9,1.4,4.5,0.317,0.5,1.8,0.28,0.9,2.7,.342,.373,0.0,0.0,0.766,0.6,1.9,2.4,3.6,0.8,0.2,1.6,1.4,3.4
390,Derrick Rose,PG,33,NYK,25,3,25.0,4.9,10.9,0.449,1.5,3.6,0.407,3.4,7.2,.470,.517,1.2,1.2,0.968,0.8,2.3,3.1,4.1,0.9,0.5,1.6,0.6,12.4
391,Terrence Ross,SG,30,ORL,28,0,25.5,3.7,9.4,0.394,1.4,4.7,0.29,2.4,4.8,.496,.466,2.3,2.7,0.853,0.4,2.1,2.4,2.2,0.6,0.2,1.6,1.3,11.1
392,Terry Rozier,SG,27,CHO,21,21,32.6,6.5,15.0,0.435,2.6,7.2,0.355,4.0,7.8,.509,.521,2.0,2.4,0.84,0.6,2.8,3.4,3.6,1.2,0.5,1.4,1.4,17.6
393,Ricky Rubio,PG,31,CLE,30,5,28.3,4.2,11.6,0.358,1.7,5.0,0.34,2.5,6.6,.372,.431,2.6,3.1,0.848,0.4,3.5,3.9,6.5,1.3,0.1,2.6,2.3,12.6
394,D'Angelo Russell,PG,25,MIN,23,23,32.8,6.5,16.7,0.387,2.9,8.8,0.332,3.6,8.0,.448,.474,3.0,3.7,0.81,0.5,3.6,4.1,6.4,0.9,0.7,2.6,2.1,18.8
395,Domantas Sabonis,C,25,IND,30,29,34.2,7.1,12.0,0.591,0.7,2.5,0.297,6.3,9.5,.667,.621,3.6,4.8,0.757,3.4,8.5,11.9,4.1,1.1,0.4,3.0,3.2,18.5
396,Tomas Satoransky,SG,30,NOP,25,3,15.0,1.0,3.1,0.321,0.1,0.8,0.143,0.9,2.3,.386,.340,0.6,0.7,0.778,0.6,1.4,2.0,2.0,0.3,0.0,0.7,1.2,2.7
397,Dennis Schroder,SG,28,BOS,27,17,33.1,6.2,14.1,0.438,1.6,4.6,0.336,4.6,9.5,.488,.493,3.2,3.6,0.896,0.6,2.9,3.6,4.8,0.9,0.1,2.6,2.4,17.1
398,Jay Scrubb,SG,21,LAC,8,0,6.5,1.4,3.5,0.393,0.5,1.8,0.286,0.9,1.8,.500,.464,0.1,0.3,0.5,0.0,0.5,0.5,0.5,0.3,0.3,0.4,0.4,3.4
399,Wayne Selden,SG,27,NYK,1,0,1.0,0.0,0.0,0.441,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400,Alperen Sengun,C,19,HOU,27,2,18.5,3.2,6.4,0.5,0.4,1.2,0.313,2.9,5.3,.542,.529,2.7,3.7,0.72,1.6,3.2,4.8,2.7,1.1,0.7,1.7,3.0,9.5
401,Collin Sexton,SG,23,CLE,11,11,28.7,6.2,13.7,0.45,1.0,4.1,0.244,5.2,9.6,.538,.487,2.6,3.5,0.744,1.2,2.1,3.3,2.1,0.9,0.0,2.8,2.3,16.0
402,Landry Shamet,SG,24,PHO,26,6,20.4,2.5,6.8,0.365,1.7,4.5,0.379,0.8,2.4,.339,.489,1.1,1.3,0.848,0.2,2.2,2.4,1.7,0.3,0.1,0.5,1.2,7.8
403,Day'Ron Sharpe,PF,20,BRK,9,0,5.4,1.3,2.2,0.6,0.1,0.3,0.333,1.2,1.9,.647,.625,0.3,1.0,0.333,1.3,1.3,2.7,0.0,0.2,0.3,0.9,0.7,3.1
404,Pascal Siakam,PF,27,TOR,17,17,34.5,7.4,15.6,0.47,1.1,3.5,0.3,6.3,12.1,.519,.504,3.4,4.5,0.74,1.9,5.7,7.6,3.7,0.6,0.8,2.2,3.3,19.1
405,Marko Simonovic,C,22,CHI,3,0,4.0,0.0,1.7,0.0,0.0,1.0,0.0,0.0,0.7,.000,.000,1.0,1.3,0.75,0.3,0.3,0.7,0.0,0.0,0.0,0.3,0.0,1.0
406,Anfernee Simons,SG,22,POR,25,3,24.0,4.8,10.7,0.446,2.2,5.7,0.394,2.5,5.0,.504,.551,1.0,1.1,0.926,0.6,2.1,2.7,2.1,0.4,0.2,1.1,1.8,12.8
407,Jericho Sims,PF,23,NYK,9,0,6.4,0.3,0.3,1.0,0.0,0.0,0.0,0.3,0.3,1.000,1.000,0.3,0.4,0.75,0.3,1.3,1.7,0.1,0.2,0.4,0.2,0.4,1.0
408,Javonte Smart,PG,22,MIL,7,0,11.6,1.3,3.1,0.409,0.6,1.6,0.364,0.7,1.6,.455,.500,0.7,0.9,0.833,0.6,1.4,2.0,0.9,0.3,0.0,0.6,0.9,3.9
409,Marcus Smart,PG,27,BOS,27,27,34.1,3.8,10.0,0.378,1.3,4.7,0.273,2.5,5.3,.472,.443,1.9,2.4,0.758,0.6,3.3,3.9,5.6,2.1,0.3,1.9,2.3,10.7
410,Dennis Smith Jr,PG,24,POR,16,3,17.4,2.1,5.0,0.425,0.3,1.1,0.278,1.8,3.9,.468,.456,1.2,1.7,0.704,0.4,1.9,2.3,3.1,1.3,0.4,1.8,1.4,5.8
411,Ish Smith,PG,33,CHO,18,1,13.6,2.2,5.3,0.417,0.2,0.3,0.5,2.1,5.0,.411,.432,0.2,0.4,0.375,0.1,1.2,1.3,2.4,0.4,0.2,0.9,0.7,4.8
412,Jalen Smith,PF,21,PHO,8,0,7.1,1.3,2.8,0.455,0.1,1.0,0.125,1.1,1.8,.643,.477,0.8,0.9,0.857,0.8,2.3,3.0,0.1,0.3,0.4,0.3,0.8,3.4
413,Tony Snell,SG,30,POR,22,3,12.0,0.7,2.1,0.326,0.5,1.6,0.306,0.2,0.5,.400,.446,0.1,0.1,1.0,0.1,1.2,1.4,0.7,0.2,0.1,0.2,1.0,2.0
414,Jaden Springer,SG,19,PHI,1,0,2.0,0.0,0.0,0.441,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
415,Lamar Stevens,PF,24,CLE,19,0,10.6,1.1,2.8,0.389,0.4,1.1,0.4,0.7,1.8,.382,.463,0.2,0.4,0.571,0.6,1.2,1.8,0.3,0.2,0.2,0.3,1.2,2.8
416,Isaiah Stewart,C,20,DET,24,24,25.9,3.3,6.1,0.544,0.0,0.5,0.083,3.3,5.6,.585,.548,0.8,1.2,0.69,2.5,5.6,8.0,1.2,0.5,1.2,1.0,2.6,7.5
417,Max Strus,SF,25,MIA,22,0,20.1,2.9,6.7,0.432,1.9,4.9,0.383,1.0,1.9,.561,.571,0.6,0.9,0.737,0.3,2.7,3.0,1.0,0.4,0.1,0.6,1.4,8.3
418,Jalen Suggs,PG,20,ORL,21,21,27.8,4.1,12.2,0.339,1.2,4.9,0.255,2.9,7.4,.394,.389,2.8,3.6,0.763,0.8,2.6,3.4,3.6,1.1,0.4,3.2,2.8,12.3
419,Jae'Sean Tate,SF,26,HOU,28,28,28.1,4.7,9.6,0.487,0.8,2.6,0.311,3.9,7.0,.554,.530,1.8,2.5,0.729,1.9,4.1,5.9,3.0,1.0,0.7,1.9,3.4,12.0
420,Jayson Tatum,SF,23,BOS,28,28,36.3,9.3,21.9,0.423,2.9,8.4,0.339,6.4,13.4,.476,.489,4.8,6.0,0.808,1.1,7.5,8.6,3.6,1.0,0.8,2.8,2.4,26.2
421,Garrett Temple,SG,35,NOP,28,9,18.5,1.9,4.8,0.391,1.1,2.9,0.378,0.8,1.8,.412,.508,0.7,0.9,0.792,0.7,2.1,2.8,1.0,0.9,0.5,0.8,1.7,5.5
422,Daniel Theis,C,29,HOU,19,17,22.3,3.2,6.6,0.48,0.8,2.9,0.286,2.3,3.6,.638,.544,1.0,1.4,0.731,1.1,3.8,4.9,0.8,0.4,0.6,1.3,2.4,8.2
423,Brodric Thomas,SG,25,BOS,3,0,1.3,0.0,0.0,0.441,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.766,0.3,0.0,0.3,0.0,0.0,0.0,0.3,0.0,0.0
424,Cameron Thomas,SG,20,BRK,21,0,14.1,2.1,5.6,0.381,0.5,2.3,0.208,1.7,3.3,.500,.424,0.7,0.9,0.778,0.2,1.5,1.7,0.9,0.4,0.1,0.3,0.5,5.4
425,Matt Thomas,SG,27,CHI,8,0,6.1,0.6,2.4,0.263,0.3,1.1,0.222,0.4,1.3,.300,.316,0.0,0.0,0.766,0.0,0.6,0.6,0.0,0.3,0.1,0.0,0.4,1.5
426,Tristan Thompson,PF,30,SAC,21,0,14.5,2.6,4.8,0.545,0.0,0.0,0.0,2.6,4.8,.545,.545,1.3,2.4,0.56,2.7,2.9,5.6,0.5,0.3,0.4,0.9,1.7,6.6
427,JT Thor,PF,19,CHO,7,0,13.6,1.1,3.1,0.364,0.4,2.0,0.214,0.7,1.1,.625,.432,0.4,0.9,0.5,0.6,1.1,1.7,0.9,0.6,0.4,0.3,1.7,3.1
428,Matisse Thybulle,SG,24,PHI,22,8,24.4,2.2,4.8,0.457,0.7,2.4,0.283,1.5,2.4,.635,.529,0.3,0.4,0.875,0.5,1.7,2.1,1.0,1.7,1.2,1.0,2.1,5.4
429,Killian Tillie,C,23,MEM,15,0,10.4,1.3,3.2,0.396,0.8,2.2,0.364,0.5,1.0,.467,.521,0.1,0.3,0.5,0.5,0.7,1.3,0.5,0.5,0.5,0.3,1.3,3.5
430,Xavier Tillman Sr,PF,23,MEM,22,0,14.6,2.0,4.4,0.454,0.3,1.2,0.222,1.7,3.2,.543,.485,1.0,1.5,0.647,1.3,1.9,3.2,1.4,1.2,0.5,0.7,1.5,5.3
431,Isaiah Todd,PF,20,WAS,5,0,2.8,0.8,2.0,0.4,0.8,1.4,0.571,0.0,0.6,.000,.600,0.2,0.4,0.5,0.2,0.2,0.4,0.0,0.4,0.2,0.2,0.2,2.6
432,Obi Toppin,PF,23,NYK,26,0,15.9,3.4,6.4,0.53,0.3,1.8,0.196,3.0,4.6,.658,.557,1.6,2.0,0.788,1.2,2.7,3.9,0.9,0.3,0.6,0.9,1.5,8.7
433,Juan Toscano-Anderson,SF,28,GSW,27,1,16.0,1.9,3.7,0.515,0.3,1.2,0.273,1.6,2.4,.636,.561,0.6,1.0,0.654,0.6,2.2,2.8,2.2,0.6,0.4,1.1,1.5,4.7
434,Karl-Anthony Towns,C,26,MIN,27,27,34.5,8.6,17.0,0.508,2.4,5.8,0.423,6.2,11.2,.551,.580,4.6,5.6,0.821,2.9,6.1,9.0,3.3,1.1,1.1,3.5,3.7,24.3
435,Gary Trent Jr,SG,23,TOR,26,25,34.8,6.3,14.7,0.433,2.8,7.2,0.383,3.6,7.4,.482,.528,1.6,1.8,0.891,0.4,2.7,3.2,2.0,2.1,0.3,0.9,2.1,17.0
436,PJ Tucker,PF,36,MIA,29,29,28.4,2.9,5.8,0.503,1.2,2.7,0.456,1.7,3.1,.544,.609,0.5,0.6,0.824,1.7,4.1,5.7,2.1,0.7,0.3,0.9,2.4,7.6
437,Myles Turner,C,25,IND,29,29,29.6,4.6,9.0,0.51,1.8,4.8,0.374,2.8,4.2,.664,.609,1.9,2.5,0.74,1.5,6.0,7.4,1.0,0.6,2.9,1.3,2.5,12.8
438,Jonas Valanciunas,C,29,NOP,30,30,31.3,7.2,13.9,0.522,1.1,2.4,0.465,6.1,11.5,.533,.561,3.2,3.9,0.819,3.6,8.5,12.1,2.4,0.6,0.9,2.2,3.1,18.7
439,Denzel Valentine,SG,28,CLE,18,0,6.4,0.6,2.1,0.289,0.4,1.4,0.32,0.2,0.7,.231,.395,0.0,0.0,0.766,0.3,0.7,1.0,0.3,0.3,0.0,0.4,0.6,1.7
440,Jarred Vanderbilt,PF,22,MIN,27,20,24.1,2.6,4.6,0.561,0.1,0.3,0.222,2.5,4.2,.588,.569,1.0,1.3,0.771,3.0,5.2,8.2,1.2,1.5,0.7,1.0,2.8,6.2
441,Fred VanVleet,PG,27,TOR,27,27,38.0,7.0,16.2,0.43,3.3,8.5,0.389,3.7,7.7,.476,.532,2.6,3.0,0.864,0.7,4.3,5.0,6.5,1.6,0.6,3.1,2.6,19.8
442,Devin Vassell,SF,21,SAS,22,0,24.3,4.3,9.3,0.459,1.6,4.5,0.364,2.6,4.8,.547,.546,1.0,1.3,0.724,0.6,3.1,3.7,1.4,1.1,0.8,0.6,2.0,11.1
443,Gabe Vincent,PG,25,MIA,26,4,19.0,2.7,5.9,0.448,1.4,3.7,0.389,1.2,2.3,.542,.568,0.6,0.8,0.762,0.5,1.3,1.7,2.6,0.7,0.2,1.4,2.1,7.3
444,Nikola Vucevic,C,31,CHI,20,20,33.2,6.2,15.4,0.404,1.6,4.7,0.34,4.6,10.7,.432,.456,1.2,1.8,0.639,1.7,8.9,10.5,3.6,1.0,1.0,1.6,2.4,15.2
445,Dean Wade,PF,25,CLE,20,12,20.5,1.9,4.3,0.442,1.0,2.9,0.345,0.9,1.4,.643,.558,0.3,0.4,0.75,0.7,2.7,3.3,1.1,0.6,0.1,0.3,1.8,5.1
446,Franz Wagner,SF,20,ORL,29,29,32.1,5.4,12.1,0.449,1.4,3.7,0.38,4.0,8.4,.480,.507,1.8,2.3,0.791,1.3,3.2,4.5,2.8,1.1,0.4,1.3,2.5,14.1
447,Moritz Wagner,C,24,ORL,26,0,11.7,2.0,4.5,0.449,1.0,2.8,0.37,1.0,1.7,.578,.564,1.2,1.5,0.769,0.5,2.0,2.5,0.8,0.2,0.2,0.8,1.8,6.3
448,Ish Wainright,PF,27,PHO,8,0,6.0,0.5,2.3,0.222,0.3,1.3,0.2,0.3,1.0,.250,.278,0.0,0.3,0.0,0.6,0.8,1.4,0.4,0.3,0.0,0.4,1.6,1.3
449,Kemba Walker,PG,31,NYK,18,18,24.5,4.2,9.8,0.429,2.1,5.1,0.413,2.1,4.7,.447,.537,1.1,1.4,0.8,0.1,2.4,2.6,3.1,1.1,0.3,1.3,1.1,11.7
450,Lonnie Walker,SG,23,SAS,26,3,22.3,3.8,9.9,0.385,1.5,5.1,0.295,2.3,4.8,.480,.461,1.5,1.7,0.864,0.2,2.7,2.9,2.3,0.6,0.3,1.3,1.3,10.6
451,Brad Wanamaker,PG,32,IND,18,0,12.3,1.3,3.4,0.377,0.2,0.9,0.25,1.1,2.5,.422,.410,0.9,1.0,0.889,0.3,1.4,1.7,2.2,0.1,0.3,0.9,2.0,3.7
452,Duane Washington Jr,PG,21,IND,3,0,2.3,0.7,1.3,0.5,0.3,1.0,0.333,0.3,0.3,1.000,.625,0.0,0.0,0.766,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,1.7
453,PJ Washington,PF,23,CHO,17,3,25.5,3.9,8.4,0.465,1.9,4.4,0.432,2.0,4.0,.500,.577,1.0,1.4,0.708,1.4,3.9,5.4,2.2,0.6,1.2,1.2,2.3,10.6
454,Yuta Watanabe,SF,27,TOR,9,0,19.2,2.0,5.6,0.36,1.3,3.9,0.343,0.7,1.7,.400,.480,0.8,1.3,0.583,0.8,3.2,4.0,1.2,0.4,0.7,0.2,1.3,6.1
455,Trendon Watford,SF,21,POR,7,0,4.9,0.9,1.7,0.5,0.0,0.0,0.0,0.9,1.7,.500,.500,0.3,0.4,0.667,0.3,0.6,0.9,0.6,0.3,0.3,0.3,0.3,2.0
456,Paul Watson,SF,27,OKC,5,0,15.6,0.4,3.0,0.133,0.4,2.6,0.154,0.0,0.4,.000,.200,0.2,0.4,0.5,0.4,2.0,2.4,0.6,0.2,0.6,0.6,1.0,1.4
457,Russell Westbrook,PG,33,LAL,29,29,36.2,7.4,16.4,0.451,1.3,4.0,0.322,6.1,12.4,.492,.489,3.6,5.3,0.68,1.3,6.5,7.8,8.4,1.2,0.2,4.6,3.0,19.6
458,Coby White,PG,21,CHI,9,1,17.6,2.4,7.0,0.349,0.8,3.4,0.226,1.7,3.6,.469,.405,0.4,0.8,0.571,0.1,2.4,2.6,1.3,0.1,0.1,0.9,1.7,6.1
459,Derrick White,SG,27,SAS,27,27,31.2,5.0,12.0,0.415,1.6,5.4,0.288,3.4,6.6,.520,.480,2.5,2.9,0.861,0.5,3.4,3.9,5.2,1.2,0.9,1.5,2.1,14.1
460,Hassan Whiteside,C,32,UTA,25,0,15.6,3.0,5.0,0.608,0.0,0.0,0.0,3.0,5.0,.608,.608,1.6,2.2,0.722,2.2,4.6,6.8,0.3,0.2,1.4,1.0,2.9,7.6
461,Joe Wieskamp,SG,22,SAS,3,0,2.7,0.3,0.3,1.0,0.3,0.3,1.0,0.0,0.0,,1.500,0.0,0.0,0.766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0
462,Aaron Wiggins,SG,23,OKC,10,2,15.2,1.0,2.2,0.455,0.6,1.8,0.333,0.4,0.4,1.000,.591,0.4,0.7,0.571,0.2,1.4,1.6,1.0,0.4,0.1,0.8,1.8,3.0
463,Andrew Wiggins,SF,26,GSW,28,28,30.9,6.8,14.0,0.488,2.1,5.3,0.408,4.7,8.7,.537,.565,2.6,3.7,0.709,1.2,3.3,4.5,1.8,0.8,0.6,1.6,1.7,18.4
464,Grant Williams,PF,23,BOS,28,9,22.1,2.5,4.9,0.511,1.5,3.4,0.453,1.0,1.5,.643,.668,0.9,1.1,0.867,0.6,2.8,3.4,1.0,0.4,0.6,0.6,2.0,7.5
465,Kenrich Williams,SF,27,OKC,24,0,20.8,2.7,5.9,0.461,0.9,2.2,0.423,1.8,3.7,.483,.539,0.7,1.3,0.531,1.1,2.5,3.6,2.0,1.0,0.2,0.8,1.7,7.0
466,Lou Williams,PG,35,ATL,23,0,13.7,2.5,6.4,0.395,0.7,1.9,0.341,1.9,4.5,.417,.446,1.1,1.3,0.867,0.3,1.3,1.6,1.2,0.7,0.1,1.0,0.9,6.8
467,Patrick Williams,PF,20,CHI,5,5,25.0,2.6,4.6,0.565,0.6,1.2,0.5,2.0,3.4,.588,.630,0.8,0.8,1.0,0.2,2.0,2.2,0.6,0.6,0.4,0.4,1.8,6.6
468,Robert Williams,C,24,BOS,21,21,27.2,4.0,5.4,0.746,0.0,0.0,0.0,4.0,5.4,.746,.746,1.0,1.6,0.667,3.4,4.7,8.1,1.1,0.8,1.7,1.1,1.7,9.1
469,Ziaire Williams,SF,20,MEM,19,0,17.8,1.8,5.2,0.354,0.8,3.4,0.246,1.0,1.8,.559,.434,0.2,0.3,0.667,0.3,1.2,1.5,0.6,0.4,0.3,0.6,1.7,4.7
470,Dylan Windler,SF,25,CLE,19,0,10.3,1.0,2.3,0.442,0.6,1.5,0.379,0.4,0.7,.571,.570,0.2,0.2,0.75,0.4,1.3,1.7,0.9,0.3,0.1,0.4,1.2,2.7
471,Justise Winslow,SF,25,LAC,20,0,8.8,1.1,2.6,0.404,0.2,0.7,0.231,0.9,2.0,.462,.433,0.2,0.3,0.5,0.5,1.7,2.1,1.0,0.5,0.4,0.9,0.8,2.4
472,Cassius Winston,PG,23,WAS,2,0,3.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,.000,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,1.0
473,Christian Wood,C,26,HOU,27,27,31.8,6.2,13.6,0.458,1.6,4.7,0.344,4.6,8.9,.519,.518,2.4,4.2,0.579,1.9,9.2,11.1,2.3,0.6,1.0,1.9,2.6,16.5
474,Robert Woodard,SF,22,SAC,1,0,3.0,0.0,0.0,0.441,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
475,Delon Wright,SG,29,ATL,26,0,14.3,1.0,2.6,0.368,0.3,0.9,0.348,0.7,1.7,.378,.426,0.6,0.7,0.789,0.7,2.0,2.7,2.2,0.7,0.2,0.5,0.5,2.8
476,McKinley Wright IV,PG,23,MIN,1,0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,1.500,0.0,0.0,0.766,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
477,Thaddeus Young,PF,33,SAS,22,0,14.1,2.9,5.1,0.566,0.0,0.1,0.0,2.9,5.0,.582,.566,0.4,0.8,0.444,1.5,1.9,3.4,2.5,0.9,0.3,1.0,1.4,6.2
478,Trae Young,PG,23,ATL,28,28,34.2,9.4,20.4,0.461,2.8,7.2,0.383,6.6,13.2,.503,.528,5.5,6.2,0.89,0.9,3.2,4.1,9.3,1.0,0.1,4.1,1.7,27.0
479,Omer Yurtseven,C,23,MIA,20,0,7.2,1.3,2.4,0.521,0.0,0.2,0.0,1.3,2.2,.568,.521,0.6,0.9,0.667,0.6,1.5,2.1,0.5,0.1,0.5,0.4,0.7,3.1
480,Cody Zeller,C,29,POR,24,0,13.3,1.8,3.2,0.566,0.0,0.2,0.0,1.8,3.0,.597,.566,1.5,2.0,0.766,1.8,2.8,4.6,0.8,0.3,0.3,0.7,2.1,5.1
481,Ivica Zubac,C,24,LAC,29,29,24.8,3.6,5.4,0.665,0.0,0.0,0.0,3.6,5.4,.665,.665,2.5,3.3,0.76,2.6,5.4,7.9,1.1,0.6,1.1,1.3,2.3,9.8
